input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,16384,128,4,write,5947.5231MB,1484.65MB/s
/users/ak5/read.bin,16384,128,16,write,5637.1446MB,1400.18MB/s
/users/ak5/read.bin,16384,128,64,write,5368.7091MB,1314.57MB/s
/users/ak5/read.bin,16384,128,256,write,5905.5800MB,1345.23MB/s
/users/ak5/read.bin,16384,128,1024,write,6442.4509MB,1121.79MB/s
/users/ak5/read.bin,16384,256,1,write,4416.6021MB,1103.60MB/s
/users/ak5/read.bin,16384,256,4,write,4898.9471MB,1224.74MB/s
/users/ak5/read.bin,16384,256,16,write,5838.4712MB,1448.75MB/s
/users/ak5/read.bin,16384,256,64,write,5637.1446MB,1328.58MB/s
/users/ak5/read.bin,16384,256,256,write,6442.4509MB,989.93MB/s
/users/ak5/read.bin,16384,256,1024,write,8589.9346MB,1019.21MB/s
/users/ak5/read.bin,65536,1,1,write,5773.4595MB,1443.36MB/s
/users/ak5/read.bin,65536,1,4,write,5516.5583MB,1379.14MB/s
/users/ak5/read.bin,65536,1,16,write,5905.5800MB,1476.40MB/s
/users/ak5/read.bin,65536,1,64,write,5662.3104MB,1410.29MB/s
/users/ak5/read.bin,65536,1,256,write,6375.3421MB,1589.86MB/s
/users/ak5/read.bin,65536,1,1024,write,5502.9268MB,1342.50MB/s
/users/ak5/read.bin,65536,4,1,write,5791.2852MB,1447.82MB/s
/users/ak5/read.bin,65536,4,4,write,5668.6019MB,1417.15MB/s
/users/ak5/read.bin,65536,4,16,write,5322.5718MB,1329.98MB/s
/users/ak5/read.bin,65536,4,64,write,5200.9370MB,1298.94MB/s
/users/ak5/read.bin,65536,4,256,write,5704.2534MB,1426.06MB/s
/users/ak5/read.bin,65536,4,1024,write,5905.5800MB,1352.94MB/s
/users/ak5/read.bin,65536,8,1,write,5952.2417MB,1488.06MB/s
/users/ak5/read.bin,65536,8,4,write,5496.6354MB,1374.16MB/s
/users/ak5/read.bin,65536,8,16,write,5242.8800MB,1309.08MB/s
/users/ak5/read.bin,65536,8,64,write,5301.6003MB,1325.40MB/s
/users/ak5/read.bin,65536,8,256,write,5637.1446MB,1384.71MB/s
/users/ak5/read.bin,65536,8,1024,write,5905.5800MB,1299.93MB/s
/users/ak5/read.bin,65536,16,1,write,5859.4427MB,1464.86MB/s
/users/ak5/read.bin,65536,16,4,write,5284.8230MB,1320.22MB/s
/users/ak5/read.bin,65536,16,16,write,5234.4914MB,1304.71MB/s
/users/ak5/read.bin,65536,16,64,write,5368.7091MB,1328.56MB/s
/users/ak5/read.bin,65536,16,256,write,5637.1446MB,1383.35MB/s
/users/ak5/read.bin,65536,16,1024,write,6442.4509MB,981.63MB/s
/users/ak5/read.bin,65536,32,1,write,5918.1629MB,1479.54MB/s
/users/ak5/read.bin,65536,32,4,write,5553.2585MB,1387.97MB/s
/users/ak5/read.bin,65536,32,16,write,5402.2636MB,1349.55MB/s
/users/ak5/read.bin,65536,32,64,write,5502.9268MB,1365.49MB/s
/users/ak5/read.bin,65536,32,256,write,5905.5800MB,1361.05MB/s
/users/ak5/read.bin,65536,32,1024,write,6442.4509MB,1081.31MB/s
