input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,1048576,1,1024,read,30064.7711MB,7329.30MB/s
/users/ak5/read.bin,1048576,4,1,read,43306.1888MB,10826.55MB/s
/users/ak5/read.bin,1048576,4,4,read,35752.2473MB,8935.83MB/s
/users/ak5/read.bin,1048576,4,16,read,29460.7913MB,7354.17MB/s
/users/ak5/read.bin,1048576,4,64,read,29796.3356MB,7386.30MB/s
/users/ak5/read.bin,1048576,4,256,read,30064.7711MB,7340.03MB/s
/users/ak5/read.bin,1048576,8,1,read,42916.1185MB,10729.03MB/s
/users/ak5/read.bin,1048576,8,4,read,29326.5736MB,7331.64MB/s
/users/ak5/read.bin,1048576,8,16,read,29662.1179MB,7393.35MB/s
/users/ak5/read.bin,1048576,8,64,read,29527.9002MB,7370.92MB/s
/users/ak5/read.bin,1048576,8,256,read,30064.7711MB,7263.78MB/s
/users/ak5/read.bin,1048576,16,1,read,26642.2190MB,6660.55MB/s
/users/ak5/read.bin,1048576,16,4,read,29058.1381MB,7264.53MB/s
/users/ak5/read.bin,1048576,16,16,read,29527.9002MB,7363.57MB/s
/users/ak5/read.bin,1048576,16,64,read,30064.7711MB,7352.60MB/s
/users/ak5/read.bin,1048576,32,1,read,25400.7050MB,6347.00MB/s
/users/ak5/read.bin,1048576,32,4,read,28991.0292MB,7244.14MB/s
/users/ak5/read.bin,1048576,32,16,read,29527.9002MB,7258.58MB/s
/users/ak5/read.bin,1048576,32,64,read,30064.7711MB,7227.11MB/s
/users/ak5/read.bin,1048576,64,1,read,26306.6747MB,6571.74MB/s
/users/ak5/read.bin,1048576,64,4,read,29259.4647MB,7260.41MB/s
/users/ak5/read.bin,1048576,64,16,read,30064.7711MB,7300.82MB/s
/users/ak5/read.bin,1048576,128,1,read,27111.9811MB,6769.53MB/s
/users/ak5/read.bin,1048576,128,4,read,29527.9002MB,7280.05MB/s
/users/ak5/read.bin,1048576,128,16,read,30064.7711MB,7263.78MB/s
/users/ak5/read.bin,1048576,256,1,read,27380.4165MB,6824.63MB/s
/users/ak5/read.bin,1048576,256,4,read,28991.0292MB,7227.88MB/s
